,Termination_Status,predicted,match,Termination_Status,employee_id,location_tier,location_cost,location_reporting,restated_LOB,tenure,age,qc_non_qc,is_people_manager,job_family_group,gender,management_level_category,management_chain_level_employee,Job_level,is_DQC,Stock_Eligible,remote_location,Plan_Category,compensation_usd,competitive_base_pay_market_position,competitive_total_target_cash_market_position,base_pay_compa_ratio,total_target_cash_compa_ratio,Time_in_Job_Profile,bonus_eligible,promotion_count_rolling_2_years,transfer_count_rolling_2_years,change_job_type_count_rolling_2_years,time_since_last_promotion_in_years,time_since_last_transfer_in_years,time_since_last_change_job_type_in_years,Change_in_Individual_management_level,Change_in_job_level,current_vs_average_compensation_job_level,current_vs_average_tenure_job_level,current_vs_average_tenure,%_Abover_or_Below_Average_Compensation_job_level,%_Abover_or_Below_Average_Tenure_job_level,%_Abover_or_Below_Average_Tenure_Company,termination_date
15,No,No,True,No,36954,Tier 1,High-Cost,Fort Lauderdale,Engineering,2.5,40,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,Yes,No,VCIP Plan,151112.58,3,3,0.945,0.949,2.335386,Yes,0,0,0,2.5,2.5,2.51,No,No,Higher than average,Lower than average,Lower than average,17.93,-52.16,-41.98,
16,No,No,True,No,18508,Tier 1,Low-Cost,Bangalore,Operations,7.42,39,NON QC,Yes,Operations,Male,People Manager,5,M2,Unknown,Yes,No,No Bonus Plan,28449.38,5,5,1.344,1.344,2.335386,No,0,0,0,7.42,7.42,7.42,Yes,Yes,Lower than average,Higher than average,Higher than average,-12.04,58.21,72.19,
17,No,Yes,False,No,37176,Tier 1,High-Cost,Fort Lauderdale,Operations,2.58,26,NON QC,No,Finance,Female,Individual Contributor/Support,6,SU2,Unknown,Yes,No,No Bonus Plan,56661.0,5,5,1.263,1.263,2.335386,No,0,0,0,2.58,2.58,2.58,No,Yes,Lower than average,Higher than average,Lower than average,-5.68,28.57,-40.13,
18,No,No,True,No,13789,Tier 1,High-Cost,Fort Lauderdale,Operations,9.25,37,NON QC,No,Information Technology,Male,Individual Contributor/Support,4,IC5,Unknown,Yes,No,VCIP Plan,161207.05,3,2,0.9,0.875,1.336071,Yes,1,0,1,1.336986,9.25,0.73,No,No,Lower than average,Lower than average,Higher than average,-1.79,-10.03,114.66,
19,No,No,True,No,38678,All Others,High-Cost,All Other EMEA,Operations,1.67,31,QC,No,Sales,Female,Individual Contributor/Support,5,IC2,Yes,No,No,Comission Plan,72756.37,3,3,0.94,0.94,1.752224,Yes,0,0,1,1.67,1.67,1.75,No,No,Higher than average,Lower than average,Lower than average,12.52,-30.05,-61.25,
20,No,Yes,False,No,36044,All Others,High-Cost,Remote AMS,Sales & Services,3.0,53,QC,No,Sales,Male,Individual Contributor/Support,5,IC5,Yes,Yes,Yes,Comission Plan,328000.0,2,3,0.895,1.005,2.833675,Yes,0,0,0,2.835616,3.0,3.0,No,No,Higher than average,Lower than average,Lower than average,30.39,-48.21,-30.38,
21,No,No,True,No,22208,All Others,High-Cost,Remote AMS,Engineering,6.08,34,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,Yes,Yes,VCIP Plan,177796.5,4,4,1.112,1.117,3.334702,Yes,0,0,3,3.336986,6.08,0.46,No,No,Higher than average,Higher than average,Higher than average,61.79,17.77,41.09,
22,No,No,True,No,32604,All Others,High-Cost,Remote EMEA,Sales & Services,4.58,53,QC,Yes,Sales,Male,People Manager,5,M4,No,Yes,Yes,Comission Plan,199781.57,3,3,0.945,0.945,1.837097,Yes,1,0,0,1.838356,4.58,4.58,No,Yes,Higher than average,Lower than average,Higher than average,4.15,-52.21,6.28,
23,No,No,True,No,40783,Tier 1,High-Cost,Raleigh,Sales & Services,0.75,31,QC,No,Sales,Male,Individual Contributor/Support,4,IC1,Yes,No,No,Comission Plan,120000.0,3,3,0.904,1.041,0.76386,Yes,0,0,1,0.75,0.75,0.75,No,No,Higher than average,Lower than average,Lower than average,69.8,-52.82,-82.6,
24,No,No,True,No,9107,Tier 1,High-Cost,Fort Lauderdale,Operations,12.5,42,QC,Yes,Sales,Male,Director,7,M6,No,Yes,No,Comission Plan,348437.02,3,3,0.965,0.911,3.832991,Yes,0,0,2,3.835616,12.5,1.05,No,No,Higher than average,Lower than average,Higher than average,21.65,-1.46,190.08,
25,No,No,True,No,34946,Tier 2,Low-Cost,Costa Rica,Customer Experience,3.75,45,NON QC,No,Customer Success,Male,Individual Contributor/Support,5,IC4,No,Yes,No,Incentive Plan,69473.44,5,5,1.338,1.368,0.334017,Yes,1,0,5,0.33,2.13,0.83,No,Yes,Higher than average,Lower than average,Lower than average,46.81,-0.38,-12.98,
26,No,No,True,No,15042,Tier 1,High-Cost,Fort Lauderdale,Operations,8.75,40,NON QC,No,Information Technology,Male,Individual Contributor/Support,6,IC3,Unknown,Yes,No,No Bonus Plan,105000.0,3,2,0.917,0.874,2.335386,No,0,1,0,8.75,1.08,2.25,No,No,Lower than average,Higher than average,Higher than average,-6.79,90.68,103.05,
27,No,Yes,False,No,7689,Tier 2,High-Cost,Alpharetta,Customer Experience,0.58,51,NON QC,No,Services,Male,Individual Contributor/Support,4,IC3,No,No,No,No Bonus Plan,120453.0,4,4,1.186,1.132,11.129363,No,0,0,0,0.58,0.58,0.58,No,No,Higher than average,Lower than average,Lower than average,35.3,-87.71,-86.54,
28,No,No,True,No,10607,Tier 1,Low-Cost,Bangalore,Engineering,10.75,35,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC5,Unknown,Yes,No,VCIP Plan,75516.77,2,3,0.899,0.902,3.832991,Yes,0,0,0,3.835616,10.75,2.2,No,No,Higher than average,Higher than average,Higher than average,0.09,60.11,149.47,
29,No,No,True,No,2992,Tier 2,High-Cost,Dublin,Customer Experience,17.42,51,NON QC,No,Services,Male,Individual Contributor/Support,5,IC5,No,Yes,No,VCIP Plan,130203.85,3,4,1.086,1.106,1.837097,Yes,1,0,2,1.838356,17.42,1.04,No,No,Higher than average,Higher than average,Higher than average,14.77,145.3,304.25,
30,No,No,True,No,40372,Tier 2,High-Cost,Dublin,Customer Experience,0.92,42,NON QC,No,Services,Male,Individual Contributor/Support,4,IC4,No,No,No,No Bonus Plan,90817.5,4,3,1.103,1.04,0.985626,No,0,0,0,0.92,0.92,0.92,No,No,Higher than average,Lower than average,Lower than average,4.63,-84.87,-78.65,
31,No,No,True,No,41651,All Others,High-Cost,All Other EMEA,Customer Experience,0.17,36,NON QC,No,Services,Male,Individual Contributor/Support,5,IC4,No,No,No,No Bonus Plan,59418.0,5,4,1.289,1.194,0.246406,No,0,0,0,0.17,0.17,0.17,No,No,Lower than average,Lower than average,Lower than average,-36.21,-96.67,-96.05,
32,No,No,True,No,40655,Tier 1,High-Cost,Fort Lauderdale,Customer Experience,0.75,59,NON QC,Yes,Services,Male,People Manager,4,M2,No,No,No,VCIP Plan,121000.0,4,5,1.181,1.203,0.821355,Yes,0,0,0,0.75,0.75,0.75,No,No,Higher than average,Lower than average,Lower than average,0.02,-87.29,-82.6,
33,No,No,True,No,22163,Tier 1,High-Cost,Santa Clara,Marketing,6.08,47,NON QC,Yes,Marketing,Female,People Manager,6,M3,Unknown,Yes,No,VCIP Plan,172173.39,3,3,1.088,1.067,3.832991,Yes,0,0,0,3.835616,6.08,5.0,No,No,Higher than average,Higher than average,Higher than average,8.87,52.49,41.09,
34,No,No,True,No,40689,Tier 1,High-Cost,Fort Lauderdale,Operations,0.75,31,QC,No,Sales,Male,Individual Contributor/Support,5,SU1,Yes,No,No,Comission Plan,60920.0,5,4,1.205,1.177,0.80219,Yes,0,1,1,0.75,0.25,0.05,No,No,Higher than average,Lower than average,Lower than average,8.74,-22.38,-82.6,
35,No,No,True,No,33963,All Others,High-Cost,All Other APAC,HR,4.25,40,NON QC,No,Human Resources,Female,Individual Contributor/Support,6,IC2,Unknown,Yes,No,No Bonus Plan,66278.04,5,5,1.37,1.37,2.997946,No,0,0,0,4.25,4.25,4.25,No,Yes,Higher than average,Higher than average,Lower than average,65.25,136.99,-1.37,
36,No,No,True,No,11600,All Others,High-Cost,Remote AMS,Sales & Services,7.25,46,QC,No,Sales,Male,Individual Contributor/Support,4,IC4,No,Yes,Yes,Comission Plan,228046.56,3,4,1.09,1.154,0.334017,Yes,1,0,1,0.33,3.08,1.84,No,Yes,Higher than average,Higher than average,Higher than average,3.19,92.52,68.25,
37,No,No,True,No,33150,All Others,High-Cost,Remote AMS,Customer Experience,4.5,64,NON QC,No,Business Operations,Male,Individual Contributor/Support,4,IC5,No,Yes,Yes,VCIP Plan,151195.37,3,2,0.912,0.894,2.335386,Yes,0,0,2,4.5,4.5,1.0,No,No,Lower than average,Lower than average,Higher than average,-14.33,-38.89,4.43,
38,No,No,True,No,19490,Tier 2,Low-Cost,Nanjing,Engineering,7.0,40,NON QC,Yes,Engineering,Male,People Manager,5,M4,Unknown,Yes,No,VCIP Plan,102903.07,2,2,0.859,0.826,3.334702,Yes,0,0,0,3.336986,7.0,7.0,No,No,Higher than average,Higher than average,Higher than average,4.49,21.21,62.44,
39,No,No,True,No,11845,Tier 1,High-Cost,Santa Clara,Sales & Services,10.0,53,QC,Yes,Sales,Male,People Manager,5,M4,No,Yes,No,Comission Plan,289197.2,3,3,0.988,1.026,0.334017,Yes,1,0,0,0.33,10.0,3.72,No,Yes,Higher than average,Higher than average,Higher than average,0.0,0.0,132.06,
40,No,No,True,No,41509,Tier 1,Low-Cost,Bangalore,Operations,0.42,33,NON QC,No,General & Administration,Female,Individual Contributor/Support,6,IC2,No,No,No,No Bonus Plan,13530.0,2,2,0.84,0.84,0.438056,No,0,0,0,0.42,0.42,0.42,No,No,Lower than average,Lower than average,Lower than average,-11.08,-83.04,-90.25,
41,No,No,True,No,7036,All Others,High-Cost,All Other EMEA,Sales & Services,13.83,46,QC,Yes,Sales,Male,Director,6,M5,No,Yes,No,Comission Plan,288045.99,3,3,0.992,0.992,2.836413,Yes,0,0,0,2.838356,13.83,2.56,No,No,Higher than average,Higher than average,Higher than average,3.18,119.4,220.94,
42,No,No,True,No,32990,Tier 1,High-Cost,Fort Lauderdale,Engineering,4.5,29,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,Yes,No,No Bonus Plan,124838.97,3,2,0.931,0.849,0.835044,No,1,0,0,0.835616,4.5,3.83,No,Yes,Lower than average,Lower than average,Higher than average,-2.58,-13.89,4.43,
43,No,No,True,No,41430,Tier 1,Low-Cost,Bangalore,Customer Experience,0.42,27,NON QC,No,Services,Female,Individual Contributor/Support,4,IC2,No,No,No,No Bonus Plan,12853.5,2,2,0.868,0.868,0.457221,No,0,0,1,0.42,0.42,0.46,No,No,Higher than average,Lower than average,Lower than average,0.64,-81.1,-90.25,
44,No,No,True,No,38231,All Others,High-Cost,All Other EMEA,Engineering,2.17,31,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC4,Unknown,Yes,No,VCIP Plan,106335.1,5,5,1.245,1.245,1.79603,Yes,0,0,5,2.17,2.17,0.83,No,No,Higher than average,Lower than average,Lower than average,32.54,-34.29,-49.64,
45,No,No,True,No,40001,Tier 1,High-Cost,Fort Lauderdale,Engineering,1.17,31,NON QC,No,Engineering,Male,Individual Contributor/Support,5,IC2,Unknown,No,No,No Bonus Plan,115000.0,2,1,0.871,0.776,1.204654,No,0,0,0,1.17,1.17,1.17,No,No,Higher than average,Lower than average,Lower than average,8.42,-49.62,-72.85,
46,No,No,True,No,10348,Tier 1,High-Cost,Fort Lauderdale,Sales & Services,10.92,36,NON QC,Yes,Sales,Female,Director,6,M5,No,Yes,No,VCIP Plan,272400.0,3,3,0.955,0.955,0.5859,Yes,1,0,3,2.08,2.34,0.59,No,No,Higher than average,Higher than average,Higher than average,11.56,8.18,153.41,
47,No,No,True,No,19109,All Others,High-Cost,Remote AMS,Sales & Services,7.25,40,QC,No,Sales,Male,Individual Contributor/Support,4,IC5,No,Yes,Yes,Comission Plan,242040.0,3,3,1.034,1.095,1.336071,Yes,1,1,3,1.336986,2.0,0.8,No,No,Lower than average,Higher than average,Higher than average,-3.78,25.16,68.25,
48,No,No,True,No,38494,Tier 1,High-Cost,Santa Clara,Operations,2.0,37,NON QC,No,Information Technology,Male,Individual Contributor/Support,4,IC2,Unknown,No,No,No Bonus Plan,103713.2,3,3,0.995,0.995,1.50308,No,0,0,5,2.0,2.0,0.2,No,No,Higher than average,Lower than average,Lower than average,14.03,-68.95,-53.59,
49,No,Yes,False,No,34150,Tier 2,Low-Cost,Costa Rica,Customer Experience,4.17,31,NON QC,No,Services,Female,Individual Contributor/Support,4,IC3,No,Yes,No,No Bonus Plan,41412.62,3,3,1.008,1.008,2.335386,No,0,0,0,4.17,4.17,4.16,No,No,Higher than average,Higher than average,Lower than average,9.92,44.22,-3.23,
50,No,No,True,No,41849,Tier 2,High-Cost,Sydney,Sales & Services,0.17,30,QC,No,Sales,Male,Individual Contributor/Support,5,IC3,Yes,No,No,Comission Plan,103896.08,1,1,0.767,0.767,0.227241,Yes,0,0,0,0.17,0.17,0.17,No,No,Higher than average,Lower than average,Lower than average,14.36,-93.72,-96.05,
51,No,No,True,No,41240,Tier 2,Low-Cost,Nanjing,Engineering,0.5,25,NON QC,No,Engineering,Female,Individual Contributor/Support,4,IC2,Unknown,No,No,No Bonus Plan,25268.1,1,1,0.673,0.673,0.553045,No,0,0,0,0.5,0.5,0.5,No,No,Lower than average,Lower than average,Lower than average,-12.36,-81.82,-88.4,
52,No,No,True,No,31598,Tier 2,Low-Cost,Nanjing,Engineering,5.08,30,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC2,Unknown,Yes,No,No Bonus Plan,28179.9,1,1,0.751,0.751,2.335386,No,0,0,0,2.336986,5.08,5.08,No,Yes,Lower than average,Higher than average,Higher than average,-2.26,84.73,17.89,
53,No,Yes,False,No,18333,Tier 2,Low-Cost,Nanjing,Engineering,7.5,33,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,Yes,No,No Bonus Plan,38648.75,2,2,0.856,0.817,1.336071,No,1,0,0,1.336986,7.5,4.3,No,Yes,Lower than average,Higher than average,Higher than average,-5.67,90.01,74.05,
54,No,No,True,No,6719,All Others,High-Cost,Remote AMS,Engineering,14.0,38,NON QC,No,Engineering,Male,Individual Contributor/Support,6,IC4,Unknown,Yes,Yes,VCIP Plan,190964.4,3,3,1.012,0.988,0.125941,Yes,0,1,2,5.673972,1.05,0.13,No,No,Higher than average,Higher than average,Higher than average,25.46,186.45,224.89,
55,No,No,True,No,12603,Tier 2,High-Cost,Cambridge,Engineering,9.67,44,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,Yes,No,VCIP Plan,87912.19,1,1,0.797,0.772,0.835044,Yes,1,0,0,0.835616,9.67,2.75,No,No,Higher than average,Higher than average,Higher than average,7.17,80.14,124.4,
56,No,No,True,No,40006,Tier 1,High-Cost,Fort Lauderdale,Finance,1.17,30,NON QC,No,Finance,Female,Individual Contributor/Support,3,IC3,Unknown,No,No,No Bonus Plan,100000.0,3,3,1.067,1.067,1.221081,No,0,1,1,1.17,0.79,0.78,No,No,Higher than average,Lower than average,Lower than average,12.81,-75.49,-72.85,
57,No,No,True,No,33717,Tier 1,High-Cost,Raleigh,Sales & Services,4.33,45,QC,No,Sales,Male,Individual Contributor/Support,5,IC6,No,Yes,No,Comission Plan,328427.98,2,3,0.834,0.978,2.335386,Yes,0,0,0,2.336986,4.33,4.08,No,Yes,Higher than average,Higher than average,Higher than average,0.0,0.0,0.48,
58,No,Yes,False,No,7235,Tier 1,Low-Cost,Bangalore,Sales & Services,13.67,47,QC,No,Sales,Male,People Manager,5,M4,No,Yes,No,Comission Plan,103788.11,4,4,1.143,1.143,2.045174,Yes,0,1,1,3.835616,2.05,1.03,No,No,Higher than average,Higher than average,Higher than average,33.26,143.41,217.23,
59,No,No,True,No,15452,Tier 2,Low-Cost,Nanjing,Engineering,8.5,31,NON QC,No,Engineering,Female,Individual Contributor/Support,4,IC3,Unknown,Yes,No,No Bonus Plan,36081.04,1,1,0.799,0.763,1.837097,No,1,0,0,1.838356,8.5,4.3,No,Yes,Lower than average,Higher than average,Higher than average,-11.94,115.34,97.25,
60,No,Yes,False,No,16164,All Others,High-Cost,Remote EMEA,Sales & Services,1.0,56,QC,No,Sales,Male,Individual Contributor/Support,5,IC4,No,No,Yes,Comission Plan,205857.12,3,2,0.978,0.815,1.084188,Yes,0,0,0,1.0,1.0,1.0,No,No,Higher than average,Lower than average,Lower than average,21.97,-80.97,-76.79,
61,No,Yes,False,No,37117,Tier 2,High-Cost,Tokyo,Sales & Services,2.5,35,QC,No,Sales,Male,Individual Contributor/Support,5,IC3,Yes,Yes,No,Comission Plan,133955.26,1,1,0.734,0.734,1.251197,Yes,0,0,1,2.5,2.5,1.25,No,No,Higher than average,Lower than average,Lower than average,14.27,-45.56,-41.98,
62,No,No,True,No,4173,All Others,High-Cost,Remote AMS,Customer Experience,16.25,46,NON QC,No,Customer Success,Male,Individual Contributor/Support,5,IC5,No,Yes,Yes,VCIP Plan,315180.0,5,5,1.396,1.348,0.125941,Yes,0,1,2,3.336986,1.25,0.13,Yes,Yes,Higher than average,Higher than average,Higher than average,78.59,120.69,277.1,
63,Yes,No,False,Yes,22954,Tier 1,High-Cost,Raleigh,Sales & Services,5.67,38,QC,No,Sales,Male,Individual Contributor/Support,4,IC2,Yes,Yes,No,Comission Plan,145594.8,3,3,0.931,1.069,2.335386,Yes,0,0,1,5.67,5.67,1.98,No,No,Higher than average,Higher than average,Higher than average,43.97,78.18,31.58,2021-01-22
64,No,No,True,No,18107,All Others,High-Cost,All Other EMEA,Operations,7.58,37,NON QC,Yes,Information Technology,Male,People Manager,5,M2,Unknown,Yes,No,No Bonus Plan,120121.94,1,1,0.749,0.706,2.836413,No,0,0,1,2.838356,7.58,0.73,No,No,Lower than average,Higher than average,Higher than average,-2.84,59.58,75.9,
65,No,No,True,No,15475,Tier 1,Low-Cost,Bangalore,Engineering,8.5,32,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC4,Unknown,Yes,No,VCIP Plan,48220.92,2,2,0.853,0.896,1.837097,Yes,1,0,1,1.838356,8.5,1.67,No,No,Higher than average,Higher than average,Higher than average,1.8,71.57,97.25,
66,No,No,True,No,7551,Tier 1,High-Cost,Fort Lauderdale,Marketing,6.25,48,NON QC,Yes,Marketing,Male,Director,7,M6,Unknown,Yes,No,VCIP Plan,282432.34,3,3,0.984,0.981,2.335386,Yes,0,0,0,6.25,6.25,2.59,No,No,Higher than average,Lower than average,Higher than average,5.03,-45.75,45.04,
67,No,No,True,No,39897,Tier 1,Low-Cost,Bangalore,Customer Experience,1.33,38,NON QC,No,Services,Male,Individual Contributor/Support,4,IC4,No,No,No,No Bonus Plan,37261.62,5,4,1.222,1.153,1.338809,No,0,0,1,1.33,1.33,1.08,No,No,Higher than average,Lower than average,Lower than average,44.55,-69.53,-69.14,
68,No,No,True,No,31718,Tier 1,Low-Cost,Bangalore,Engineering,4.5,27,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,Yes,No,No Bonus Plan,25645.34,2,1,0.824,0.785,0.334017,No,1,0,1,0.33,4.5,0.83,No,Yes,Lower than average,Higher than average,Higher than average,-18.09,19.27,4.43,
69,No,No,True,No,15763,Tier 1,High-Cost,Raleigh,Engineering,8.5,31,NON QC,No,Engineering,Male,Individual Contributor/Support,4,IC3,Unknown,Yes,No,VCIP Plan,149748.99,3,3,0.936,0.941,0.334017,Yes,1,0,1,0.33,3.47,0.29,No,No,Higher than average,Higher than average,Higher than average,19.11,104.42,97.25,
70,No,No,True,No,36704,Tier 1,High-Cost,Santa Clara,Engineering,2.75,42,NON QC,No,Engineering,Female,Individual Contributor/Support,4,IC1,Unknown,Yes,No,No Bonus Plan,107795.68,2,2,0.878,0.837,2.335386,No,0,0,0,2.75,2.75,2.75,No,No,Higher than average,Higher than average,Lower than average,1.0,83.18,-36.18,
71,No,Yes,False,No,35779,All Others,High-Cost,All Other EMEA,Sales & Services,3.25,51,QC,No,Sales,Male,Individual Contributor/Support,5,IC4,Yes,Yes,No,Comission Plan,154739.0,2,2,0.849,0.849,2.335386,Yes,0,0,0,3.25,3.25,3.25,No,No,Lower than average,Lower than average,Lower than average,-1.69,-30.43,-24.58,
72,No,No,True,No,36758,All Others,High-Cost,Remote AMS,Sales & Services,2.75,27,NON QC,No,Marketing,Female,Individual Contributor/Support,6,IC4,No,Yes,Yes,VCIP Plan,153985.93,3,4,1.09,1.1,0.334017,Yes,1,0,0,0.33,2.75,2.75,No,Yes,Lower than average,Lower than average,Lower than average,-30.32,-26.98,-36.18,
73,Yes,Yes,True,Yes,20329,All Others,High-Cost,All Other AMS,Engineering,6.5,54,NON QC,No,Engineering,Male,Individual Contributor/Support,6,IC5,Unknown,Yes,No,VCIP Plan,261013.44,4,5,1.174,1.254,3.832991,Yes,0,0,4,3.71,6.5,0.71,No,No,Higher than average,Higher than average,Higher than average,47.57,32.6,50.84,2020-12-17
74,No,No,True,No,33332,Tier 1,High-Cost,Fort Lauderdale,Customer Experience,4.5,42,NON QC,No,Services,Male,Individual Contributor/Support,3,IC5,No,Yes,No,VCIP Plan,139760.48,3,3,0.965,0.946,2.335386,Yes,0,0,0,4.5,4.5,4.5,No,No,Higher than average,Lower than average,Higher than average,0.42,-55.74,4.43,
75,No,No,True,No,41520,All Others,High-Cost,Remote AMS,Sales & Services,0.33,60,QC,Yes,Sales,Female,Director,6,M5,No,No,Yes,Comission Plan,275006.0,2,2,0.887,0.857,0.396988,Yes,0,0,0,0.33,0.33,0.33,No,No,Lower than average,Lower than average,Lower than average,-9.78,-95.56,-92.34,
